240002543542|DE|A A MARGARETH PRATTS DA MISSÃO|14000|MISSÃO|Policial Militar|||2221000||2022~Deputado Estadual~UNIÃO~Suplente~SANTA CATARINA
240002539957|DE|A ALEX BRASIL|22000|PL|Deputado|||483670||2022~Deputado Estadual~PL~Suplente~SANTA CATARINA;2020~Prefeito~PRTB~Não eleito~FLORIANÓPOLIS
240002539966|DE|A DECO BATISTI|22999|PL|Administrador|||741235||2024~Vice-prefeito~PL~Eleito~BRUSQUE;2020~Vice-prefeito~PL~Eleito~BRUSQUE;2020~Vereador~PL~Eleito por QP~BRUSQUE;2016~Vereador~PRP~Suplente~BRUSQUE
240002539975|DE|A FABI VENERA|22357|PL|Empresário|||2758657||2024~Vice-prefeito~PL~Não eleito~JOINVILLE
240002533289|DE|A JÚLIA DA CAUSA ANIMAL|12022|PDT|Outros|||0||2024~Vereador~MDB~Suplente~FLORIANÓPOLIS
240002543403|DE|AANDERSON BATATA|11456|PP|Servidor Público Estadual||FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP)|1231324||2024~Prefeito~PP~Não eleito~INDAIAL;2022~Deputado Federal~PP~Não eleito~SANTA CATARINA;2020~Vereador~PP~Eleito por média~INDAIAL;2018~Deputado Federal~PP~Suplente~SANTA CATARINA
240002539577|DE|ABIA ALVES|20555|PODE|Outros|||509869||2024~Vice-prefeito~PODE~Não eleito~CAPIVARI DE BAIXO;2020~Vereador~PSL~Eleito por QP~CAPIVARI DE BAIXO
240002537918|DE|ACÉLIO CASAGRANDE|10100|REPUBLICANOS|Administrador|||112856||2024~Vice-prefeito~PL~Não eleito~CRICIÚMA;2022~Deputado Estadual~PSDB~Suplente~SANTA CATARINA;2016~Vice-prefeito~PMDB~Não eleito~CRICIÚMA;2010~Deputado Estadual~PMDB~Suplente~SANTA CATARINA
240002552931|DE|ADELINA MARTINS|77111|SOLIDARIEDADE|Empresário||FEDERAÇÃO RENOVAÇÃO SOLIDÁRIA(PRD/SOLIDA|423539||2024~Vereador~SOLIDARIEDADE~Não eleito~TUBARÃO
240002543550|DE|ADEMIR LIMA|14500|MISSÃO|Outros|||515000||2020~Vereador~REPUBLICANOS~Suplente~BRUSQUE
240002541381|DE|ADILSON GIRARDI|15123|MDB|Jornalista e Redator|||689454||2024~Vereador~MDB~Eleito por QP~JOINVILLE;2022~Deputado Estadual~MDB~Suplente~SANTA CATARINA;2020~Vereador~MDB~Eleito por QP~JOINVILLE;2016~Vereador~SD~Eleito por QP~JOINVILLE
240002551731|DE|ADRI|11999|PP|Empresário||FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP)|1510277||2024~Vereador~PP~Não eleito~SÃO JOSÉ;2022~Deputado Estadual~PP~Suplente~SANTA CATARINA;2020~Vereador~PP~Não eleito~SÃO JOSÉ
240002539824|DE|ADRIANINHA DA SAÚDE|22192|PL|Enfermeiro|||314424||2024~Prefeito~PL~Não eleito~VARGEM;2020~Vereador~PL~Eleito por QP~VARGEM
240002537803|DE|ÁGATHA BRUM|50044|PSOL|Faxineiro|Indeferido em prazo recursal ou com recurso|FEDERAÇÃO PSOL REDE(PSOL/REDE)|0||
240002552225|DE|AGUINALDO VARGAS|36222|AGIR|Corretor de Imóveis, Seguros, Títulos e |||0||
