240002544688|DF|PAULO JOSUÉ|1456|MISSÃO|Advogado|||0|https://www.instagram.com/paulojosue14|
240002541406|DF|PEZENTI|1510|MDB|Jornalista e Redator|||648942|HTTPS://WWW.TIKTOK.COM/@DEPUTADOPEZENTI?_R=1&_T=ZS-98FLVCGLKNQ|2022~Deputado Federal~MDB~Eleito por média~SANTA CATARINA
240002551686|DF|POLAQUINHO|7001|AVANTE|Engenheiro|Renúncia||760000|HTTPS://WEB.FACEBOOK.COM/ALEXRUDNISKIPOLAQUINHO?RDID=SPHMZOFDX8AN0P2H&|2024~Prefeito~AVANTE~Não eleito~ITÁ;2020~Vereador~MDB~Suplente~ITÁ
240002533838|DF|PROF JU ANDOZIO|1333|PT|Pedagogo||FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASI|0|HTTPS://WWW.INSTAGRAM.COM/JU_ANDOZIO|
240002533823|DF|PROFª VANESSA DA ROSA|1326|PT|Professor de Ensino Superior||FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASI|250000|HTTPS://WWW.INSTAGRAM.COM/VANESSADAROSAJOINVILLE|2024~Vereador~PT~Eleito por QP~JOINVILLE;2022~Deputado Estadual~PT~Suplente~SANTA CATARINA
240002541410|DF|PROFª. ÉDINA|1509|MDB|Professor de Ensino Fundamental|||276090|HTTPS://WWW.TIKTOK.COM/@PROF.EDINARUAS?_R=1&_T=ZS-98FY4YMNA2G|
240002537828|DF|PROFESSOR CANGURU|5013|PSOL|Professor de Ensino Fundamental||FEDERAÇÃO PSOL REDE(PSOL/REDE)|27935|HTTPS://CRITERIODEVERDADE.BLOGSPOT.COM|
240002537836|DF|PROFESSOR ELSON|5010|PSOL|Professor de Ensino Superior||FEDERAÇÃO PSOL REDE(PSOL/REDE)|2980000|HTTPS://WWW.FACEBOOK.COM/PROF.ELSONPEREIRA|2020~Prefeito~PSOL~Não eleito~FLORIANÓPOLIS;2018~Deputado Estadual~PSOL~Não eleito~SANTA CATARINA;2016~Prefeito~PSOL~Não eleito~FLORIANÓPOLIS;2014~Deputado Estadual~PSOL~Não eleito~SANTA CATARINA
240002533833|DF|PROFESSOR PEDRO UCZAI|1350|PT|Professor de Ensino Superior||FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASI|1612676|https://www.facebook.com/PedroUczai/|2024~Prefeito~PT~Não eleito~CHAPECÓ;2022~Deputado Federal~PT~Eleito por QP~SANTA CATARINA;2020~Vice-prefeito~PT~Não eleito~CHAPECÓ;2018~Deputado Federal~PT~Eleito por QP~SANTA CATARINA
240002551692|DF|PROFESSORA ANGÉLICA|7055|AVANTE|Servidor Público Civil Aposentado|||0|HTTPS://WWW.FACEBOOK.COM/SHARE/19LNVK1UFC/?MIBEXTID=WWXIFR|2022~Deputado Estadual~SOLIDARIEDADE~Não eleito~SANTA CATARINA
