240002533294|DE|VICTOR PICCOLI|12555|PDT|Vereador|||12474326||2024~Vereador~PDT~Eleito por QP~CAMBORIÚ;2020~Vereador~DEM~Suplente~CAMBORIÚ;2016~Vereador~DEM~Suplente~CAMBORIÚ
240002533305|DE|VICTORIA SALGADO|12112|PDT|Advogado|||0||
240002535462|DE|VINICIUS BORGES|30333|NOVO|Veterinário|||175000||2024~Vice-prefeito~NOVO~Não eleito~LAGES
240002539584|DE|VINICIUS GANEM|20100|PODE|Outros|||30000||
240002537804|DE|VIVI DO JUNTOS|50999|PSOL|Estudante, Bolsista, Estagiário e Asseme||FEDERAÇÃO PSOL REDE(PSOL/REDE)|0||
240002551474|DE|VIVIAN QUIQUIO|55852|PSD|Administrador|||2000600||2024~Vereador~PSD~Eleito por QP~AURORA
240002551475|DE|VOLTOLINI TAXISTA|55678|PSD|Taxista|||89107||2024~Vereador~PSD~Não eleito~TIMBÓ;2022~Deputado Estadual~PSD~Suplente~SANTA CATARINA;2020~Vereador~DEM~Suplente~TIMBÓ;2018~Deputado Estadual~PPS~Suplente~SANTA CATARINA
240002539564|DE|WAGNER ARAÚJO|20220|PODE|Empresário|||0||2012~Vereador~PDT~Suplente~JARAGUÁ DO SUL;2008~Vereador~PDT~Suplente~GUARAMIRIM
240002539960|DE|WILIAN TONEZI|22001|PL|Vereador|||967240||2024~Vereador~PL~Eleito por QP~JOINVILLE;2020~Vereador~PATRIOTA~Eleito por média~JOINVILLE
240002551699|DE|WILLIAN ESTEVES|70700|AVANTE|Empresário|||0||
240002535449|DE|WILSON CIDRÃO|30022|NOVO|Advogado|||406959||2024~Vereador~REPUBLICANOS~Eleito por QP~CHAPECÓ;2022~Deputado Estadual~PATRIOTA~Não eleito~SANTA CATARINA;2020~Vereador~PATRIOTA~Eleito por média~CHAPECÓ
240002543541|DE|YOLANDA SILVA|14111|MISSÃO|Jornalista e Redator|||9000||2024~Vereador~NOVO~Não eleito~FLORIANÓPOLIS
240002537939|DE|YOLI RAVAZZI|10028|REPUBLICANOS|Outros|||0||2024~Vereador~MDB~Suplente~JOINVILLE
